age,household,school,workplace,primary,secondary
1,2.36,13.0,0.0,3.62,3.01
2,2.72,11.56,0.0,3.8,3.47
3,2.72,11.56,0.0,3.8,3.47
4,2.33,19.36,0.0,5.92,3.05
5,2.33,19.36,0.0,5.92,3.05
6,2.33,19.36,0.0,5.92,3.05
7,2.93,17.23,0.0,12.04,5.75
8,2.93,17.23,0.0,12.04,5.75
9,2.93,17.23,0.0,12.04,5.75
10,2.93,17.23,0.0,12.04,5.75
11,2.93,17.23,0.0,12.04,5.75
12,2.93,17.23,0.0,12.04,5.75
13,3.11,16.87,0.0,9.6,14.33
14,3.11,16.87,0.0,9.6,14.33
15,3.11,16.87,0.0,9.6,14.33
16,3.11,16.87,0.0,9.6,14.33
17,3.11,16.87,0.0,9.6,14.33
18,3.11,16.87,0.0,9.6,14.33
19,2.57,8.33,7.57,15.92,11.42
20,2.57,8.33,7.57,15.92,11.42
21,2.57,8.33,7.57,15.92,11.42
22,2.57,8.33,7.57,15.92,11.42
23,2.57,8.33,7.57,15.92,11.42
24,1.95,20.0,7.57,14.5,15.73
25,1.95,20.0,7.57,14.5,15.73
26,1.95,20.0,7.57,14.5,15.73
27,1.95,20.0,7.57,14.5,15.73
28,1.95,20.0,7.57,14.5,15.73
29,1.95,20.0,7.57,14.5,15.73
30,1.95,20.0,7.57,14.5,15.73
31,1.95,20.0,7.57,14.5,15.73
32,1.95,20.0,7.57,14.5,15.73
33,1.95,20.0,7.57,14.5,15.73
34,1.95,20.0,7.57,14.5,15.73
35,1.95,20.0,7.57,14.5,15.73
36,1.95,20.0,7.57,14.5,15.73
37,1.95,20.0,7.57,14.5,15.73
38,1.95,20.0,7.57,14.5,15.73
39,1.95,20.0,7.57,14.5,15.73
40,1.95,20.0,7.57,14.5,15.73
41,1.95,20.0,7.57,14.5,15.73
42,1.95,20.0,7.57,14.5,15.73
43,1.95,20.0,7.57,14.5,15.73
44,1.95,20.0,7.57,14.5,15.73
45,1.95,20.0,7.57,14.5,15.73
46,1.86,20.0,7.57,12.05,14.01
47,1.86,20.0,7.57,12.05,14.01
48,1.86,20.0,7.57,12.05,14.01
49,1.86,20.0,7.57,12.05,14.01
50,1.86,20.0,7.57,12.05,14.01
51,1.86,20.0,7.57,12.05,14.01
52,1.86,20.0,7.57,12.05,14.01
53,1.86,20.0,7.57,12.05,14.01
54,1.86,20.0,7.57,12.05,14.01
55,1.86,20.0,7.57,12.05,14.01
56,1.86,20.0,7.57,12.05,14.01
57,1.86,20.0,7.57,12.05,14.01
58,1.86,20.0,7.57,12.05,14.01
59,1.86,20.0,7.57,12.05,14.01
60,1.86,20.0,7.57,12.05,14.01
61,1.86,20.0,7.57,12.05,14.01
62,1.86,20.0,7.57,12.05,14.01
63,1.86,20.0,7.57,12.05,14.01
64,1.86,20.0,7.57,12.05,14.01
65,1.86,20.0,7.57,12.05,14.01
66,0.76,4.0,5.0,9.62,8.6
67,0.76,4.0,5.0,9.62,8.6
68,0.76,4.0,5.0,9.62,8.6
69,0.76,4.0,5.0,9.62,8.6
70,0.76,4.0,5.0,9.62,8.6
71,0.76,4.0,5.0,9.62,8.6
72,0.76,4.0,5.0,9.62,8.6
73,0.76,4.0,5.0,9.62,8.6
74,0.76,4.0,5.0,9.62,8.6
75,0.76,4.0,5.0,9.62,8.6
76,1.01,4.0,5.0,6.06,5.04
77,1.01,4.0,5.0,6.06,5.04
78,1.01,4.0,5.0,6.06,5.04
79,1.01,4.0,5.0,6.06,5.04
80,1.01,4.0,5.0,6.06,5.04
81,1.01,4.0,5.0,6.06,5.04
82,1.01,4.0,5.0,6.06,5.04
83,1.01,4.0,5.0,6.06,5.04
84,1.01,4.0,5.0,6.06,5.04
85,1.01,4.0,5.0,6.06,5.04
86,1.01,4.0,5.0,6.06,5.04
87,1.01,4.0,5.0,6.06,5.04
88,1.01,4.0,5.0,6.06,5.04
89,1.01,4.0,5.0,6.06,5.04
90,1.01,4.0,5.0,6.06,5.04
91,1.01,4.0,5.0,6.06,5.04
92,1.01,4.0,5.0,6.06,5.04
93,1.01,4.0,5.0,6.06,5.04
94,1.01,4.0,5.0,6.06,5.04
95,1.01,4.0,5.0,6.06,5.04
96,1.01,4.0,5.0,6.06,5.04
97,1.01,4.0,5.0,6.06,5.04
98,1.01,4.0,5.0,6.06,5.04
99,1.01,4.0,5.0,6.06,5.04
100,1.01,4.0,5.0,6.06,5.04
