age,Household,K-12 school,College,Workplace,Primary,Secondary
0,2.85,10.01,0.0,0.0,3.72,3.28
1,2.83,9.35,0.0,0.0,3.76,3.31
2,3.05,9.41,0.0,0.0,3.74,3.34
3,3.05,18.44,0.0,0.0,5.81,3.06
4,3.16,18.35,0.0,0.0,5.82,3.06
5,3.21,18.34,0.0,0.0,5.78,3.03
6,3.22,17.02,0.0,0.0,10.62,5.48
7,3.25,17.02,0.0,0.0,10.67,5.51
8,3.26,17.07,0.0,0.0,10.66,5.53
9,3.34,17.08,0.0,0.0,10.73,5.52
10,3.32,17.02,0.0,0.0,10.73,5.51
11,3.28,17.06,0.0,0.0,10.72,5.48
12,3.2,16.58,0.0,0.0,8.89,11.58
13,3.26,16.61,0.0,0.0,8.93,11.47
14,3.17,16.63,0.0,0.0,8.97,11.46
15,3.25,16.55,0.0,0.0,9.0,11.47
16,3.13,16.6,0.0,0.0,8.98,11.43
17,3.06,16.69,0.0,0.0,8.91,11.46
18,3.05,0.0,8.36,6.25,11.68,9.71
19,3.0,0.0,8.37,5.96,11.73,9.72
20,2.75,0.0,8.33,6.19,11.72,9.73
21,2.72,0.0,8.39,6.14,11.69,9.67
22,2.49,0.0,8.34,6.26,11.68,9.73
23,2.54,0.0,0.0,6.07,11.55,11.84
24,2.2,14.91,0.0,6.24,11.6,11.94
25,2.07,11.76,0.0,6.04,11.52,11.88
26,2.02,13.39,0.0,6.31,11.62,11.95
27,1.94,14.2,0.0,6.09,11.57,11.94
28,1.97,16.06,0.0,6.17,11.49,11.83
29,2.09,15.06,0.0,6.22,11.58,11.87
30,2.13,14.17,0.0,6.18,11.61,11.92
31,2.26,14.34,0.0,6.24,11.64,11.87
32,2.41,15.44,0.0,6.2,11.49,11.85
33,2.51,14.31,0.0,6.11,11.57,11.9
34,2.47,13.69,0.0,6.23,11.59,11.88
35,2.4,14.97,0.0,6.23,11.48,11.95
36,2.59,13.18,0.0,6.05,11.54,11.89
37,2.76,15.26,0.0,6.31,11.57,11.91
38,2.74,14.09,0.0,6.15,11.6,11.9
39,2.61,13.04,0.0,6.1,11.5,11.93
40,2.69,15.12,0.0,6.21,11.51,11.93
41,2.64,14.07,0.0,6.18,11.5,11.85
42,2.65,14.74,0.0,6.21,11.61,11.92
43,2.67,13.11,0.0,6.1,11.55,11.87
44,2.64,14.05,0.0,6.24,11.54,11.87
45,2.64,13.97,0.0,6.28,10.69,11.39
46,2.54,15.16,0.0,6.26,10.63,11.36
47,2.51,14.8,0.0,6.16,10.71,11.4
48,2.48,14.63,0.0,6.22,10.75,11.32
49,2.36,12.09,0.0,6.38,10.67,11.37
50,2.37,13.32,0.0,6.24,10.69,11.34
51,2.12,13.24,0.0,6.1,10.68,11.36
52,2.04,16.46,0.0,6.21,10.75,11.32
53,2.01,13.21,0.0,6.31,10.75,11.42
54,1.92,14.02,0.0,6.37,10.66,11.38
55,1.88,14.13,0.0,6.48,10.69,11.38
56,1.55,15.16,0.0,6.21,10.74,11.33
57,1.56,14.34,0.0,6.06,10.71,11.41
58,1.45,11.3,0.0,6.14,10.68,11.37
59,1.46,13.97,0.0,6.1,10.64,11.4
60,1.44,15.95,0.0,6.02,10.64,11.39
61,1.32,0.0,0.0,6.33,10.63,11.33
62,1.28,0.0,0.0,6.1,10.66,11.34
63,1.27,0.0,0.0,6.08,10.69,11.41
64,1.24,0.0,0.0,6.24,10.72,11.38
65,1.24,0.0,0.0,4.42,9.0,7.75
66,1.22,0.0,0.0,4.47,9.05,7.72
67,1.17,0.0,0.0,4.71,9.08,7.79
68,1.19,0.0,0.0,4.01,8.96,7.71
69,1.22,0.0,0.0,4.81,8.99,7.73
70,1.18,0.0,0.0,4.23,8.97,7.8
71,1.15,0.0,0.0,5.12,9.04,7.76
72,1.14,0.0,0.0,4.12,9.1,7.69
73,1.16,0.0,0.0,2.74,8.98,7.75
74,1.13,0.0,0.0,4.5,9.04,7.78
75,1.12,0.0,0.0,4.95,5.91,4.92
76,1.14,0.0,0.0,4.23,6.05,4.9
77,1.13,0.0,0.0,4.45,6.04,4.92
78,1.1,0.0,0.0,0.0,6.01,4.88
79,1.14,0.0,0.0,0.0,5.97,4.96
80,1.16,0.0,0.0,0.0,5.99,4.92
81,1.23,0.0,0.0,0.0,5.88,4.92
82,1.13,0.0,0.0,0.0,5.95,4.95
83,1.23,0.0,0.0,0.0,6.08,4.97
84,1.18,0.0,0.0,0.0,6.06,4.86
85,1.16,0.0,0.0,0.0,5.89,4.89
86,1.13,0.0,0.0,0.0,6.03,5.0
87,1.19,0.0,0.0,0.0,6.0,4.91
88,1.34,0.0,0.0,0.0,6.03,4.91
89,1.11,0.0,0.0,0.0,6.14,4.87
90,1.3,0.0,0.0,0.0,5.96,4.92
91,1.24,0.0,0.0,0.0,5.89,4.94
92,1.0,0.0,0.0,0.0,5.85,4.85
93,1.25,0.0,0.0,0.0,5.59,4.72
94,1.0,0.0,0.0,0.0,6.11,4.73
95,2.0,0.0,0.0,0.0,6.05,5.0
96,1.5,0.0,0.0,0.0,6.03,5.1
97,1.33,0.0,0.0,0.0,5.73,4.78
98,0.0,0.0,0.0,0.0,5.94,4.78
99,2.0,0.0,0.0,0.0,5.54,5.25
100,1.48,0.0,0.0,0.0,6.45,4.77
